username,프로필,추정언어,거주추정,수집_게시물수,아이템_언급_게시물수,평균_조회수,총_조회수,평균_좋아요,평균_댓글,참여율_%,댓글_좋아요_비_%,티어,다루는_아이템,판매가능_아이템,판매가능_아이템수,대표_영상,대표_영상_조회수,섭외점수,DM_초안,발송일,상태,메모
simmongzi,https://www.instagram.com/simmongzi/,ko,,1,1,0,0,12000,283,0.0,2.36,나노,산테 안약,,0,https://www.instagram.com/reel/DMIan_VSEiS/,0,80.9,"안녕하세요 simmongzi님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'산테 안약' 소개해주신 릴스(https://www.instagram.com/reel/DMIan_VSEiS/) 잘 봤습니다. 좋아요 12,000개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
yeondukong,https://www.instagram.com/yeondukong/,ko,,1,1,0,0,47000,293,0.0,0.62,나노,"비오레 UV, 캔메이크","비오레 UV, 캔메이크",2,https://www.instagram.com/reel/CzGKFvgRy8a/,0,78.8,"안녕하세요 yeondukong님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'비오레 UV' 소개해주신 릴스(https://www.instagram.com/reel/CzGKFvgRy8a/) 잘 봤습니다. 좋아요 47,000개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
beni_hdy,https://www.instagram.com/beni_hdy/,ko,일본거주,1,1,0,0,485,8,0.0,1.65,나노,자가비,자가비,1,https://www.instagram.com/reel/DUawM65EiZZ/,0,76.7,"안녕하세요 beni_hdy님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'자가비' 소개해주신 릴스(https://www.instagram.com/reel/DUawM65EiZZ/) 잘 봤습니다. 좋아요 485개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!
(덧) 일본에 계신 것 같은데, 원하시면 현지 매입 파트너도 함께 가능합니다. 품목당 매입 대행 수수료가 커미션과 별도로 붙습니다.",,미발송,
_lensmag,https://www.instagram.com/_lensmag/,ko,,1,1,0,0,1876,23,0.0,1.23,나노,도쿄바나나,도쿄바나나,1,https://www.instagram.com/p/DSKI2sEj5Rl/,0,74.7,"안녕하세요 _lensmag님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'도쿄바나나' 소개해주신 릴스(https://www.instagram.com/p/DSKI2sEj5Rl/) 잘 봤습니다. 좋아요 1,876개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
torybin,https://www.instagram.com/torybin/,ko,일본거주,1,1,0,0,782,7,0.0,0.9,나노,"로이히츠보코, 산테 안약, 캔메이크",캔메이크,1,https://www.instagram.com/p/DP2sLuQkaXQ/,0,71.2,"안녕하세요 torybin님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'캔메이크' 소개해주신 릴스(https://www.instagram.com/p/DP2sLuQkaXQ/) 잘 봤습니다. 좋아요 782개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!
(덧) 일본에 계신 것 같은데, 원하시면 현지 매입 파트너도 함께 가능합니다. 품목당 매입 대행 수수료가 커미션과 별도로 붙습니다.",,미발송,
space.go__,https://www.instagram.com/space.go__/,ko,,2,2,0,0,1680,4,0.0,0.27,나노,도쿄바나나,도쿄바나나,1,https://www.instagram.com/p/DMSESxbvq46/,0,64.8,"안녕하세요 space.go__님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'도쿄바나나' 소개해주신 릴스(https://www.instagram.com/p/DMSESxbvq46/) 잘 봤습니다. 좋아요 1,680개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
bjpj0122,https://www.instagram.com/bjpj0122/,ko,,1,0,0,0,9427,418,0.0,4.43,나노,,,0,https://www.instagram.com/reel/DRaBYIMk-QF/,0,59.7,"안녕하세요 bjpj0122님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DRaBYIMk-QF/) 잘 봤습니다. 좋아요 9,427개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
_tripgoing,https://www.instagram.com/_tripgoing/,ko,,1,1,0,0,2249,4,0.0,0.18,나노,산테 안약,,0,https://www.instagram.com/p/DQL69sxk1jZ/,0,58.9,"안녕하세요 _tripgoing님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'산테 안약' 소개해주신 릴스(https://www.instagram.com/p/DQL69sxk1jZ/) 잘 봤습니다. 좋아요 2,249개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
gookju,https://www.instagram.com/gookju/,ko,,1,0,0,0,9935,129,0.0,1.3,나노,,,0,https://www.instagram.com/reel/DM6vKCSyzqq/,0,55.7,"안녕하세요 gookju님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DM6vKCSyzqq/) 잘 봤습니다. 좋아요 9,935개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
lilycozi,https://www.instagram.com/lilycozi/,ko,,1,0,0,0,3373,62,0.0,1.84,나노,,,0,https://www.instagram.com/reel/DYg74-Zx2P9/,0,53.6,"안녕하세요 lilycozi님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DYg74-Zx2P9/) 잘 봤습니다. 좋아요 3,373개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
